Disease,Specialty
Fungal infection,Dermatology
Allergy,Immunology
GERD,Internal medicine
Chronic cholestasis,Internal medicine
Drug reaction,Dermatology
Peptic ulcer disease,Internal medicine
AIDS,Internal medicine
Diabetes,Endocrinology
Gastroenteritis,Internal medicine
Bronchial asthma,Pulmonology
Hypertension¹,Cardiology
Migraine,Neurology
Cervical spondylosis,Orthopedics
Paralysis (brain hemorrhage),Neurology
Jaundice,Internal medicine
Malaria,Internal medicine
Chicken pox,Pediatrics
Dengue,Internal medicine
Typhoid,Internal medicine
Hepatitis A,Internal medicine
Hepatitis B,Internal medicine
Hepatitis C,Internal medicine
Hepatitis D,Internal medicine
Hepatitis E,Internal medicine
Alcoholic hepatitis,Internal medicine
Tuberculosis⁴,Pulmonology
Common cold,Family medicine
Pneumonia,Pulmonology
Dimorphic hemorrhoids (piles),General surgery
Heart attack,Cardiology
Varicose veins,General surgery
Hypothyroidism,Endocrinology
Hyperthyroidism,Endocrinology
Hypoglycemia,Endocrinology
Osteoarthritis,Orthopedics
Arthritis²,Orthopedics
Benign paroxysmal positional vertigo³,ENT (Otolaryngology)
Acne,Dermatology
Urinary tract infection,Urology
Psoriasis,Dermatology
Impetigo,Dermatology
