Governorate,City,Service Provider Type,Service Provider,Specialty,Address,Phone 1,Phone 2
Fayoum,Fayoum,Laboratories,Trust Labs,,Abu Khalaf Masoud Tower - Al-Masalla Square - Fayoum,16183,
Fayoum,Ibshaway,Laboratories,Al-Borg Lab,,Al-Gomhoreya Street - Old National Bank Building,19911,
Fayoum,Fayoum,Laboratories,Al-Borg Lab,,Al-Gomhoreya Street in front of the Central Exchange (Arafa Hospital),19911,
Fayoum,Fayoum,Laboratories,Al-Borg Lab,,Gamal Abdel Nasser Street - 103 Al-Masalla Square,19911,
Fayoum,Fayoum,Laboratories,Al-Shams Lab,,Shoaib Tower - Gamal Abdel Nasser Street - Next to Spileh Pastry Shop - Al-Masalla Square,19445,
Fayoum,Ibshaway,Laboratories,Al-Mokhtabar Lab,,Abu Talib Street above Vodafone in front of Old Ibshaway Station - Ibshaway,19014,
Fayoum,Fayoum,Laboratories,Al-Mokhtabar Lab,,Al-Horreya Street - Downtown - Fayoum,19014,
Fayoum,Fayoum,Laboratories,Al-Mokhtabar Lab,,Gamal Abdel Azim Street - Al-Masalla Square - Al-Amira Tower - Fayoum,19014,
Fayoum,Fayoum,Medical Authority,Dawy Specialized Clinics,Multiple Specialties,35 Gamal Abdel Nasser Street - Al-Masalla Square - Fayoum,16850,
Cairo,Hadayek El-Qobba,Hospitals,El-Qobba Specialized Hospital,Inpatient - Emergency - Outpatient Clinics,87 Mecca Street - Administrative Control Division - Hadayek El-Qobba,01111829733,01277992514
Cairo,Heliopolis,Hospitals,Specialized Eye Center,Inpatient - Outpatient Clinics,Al-Khalifa Al-Maamoun Street - Above Metro Supermarket 18 - First Floor,0123990402,0224511262
Cairo,Cairo-Ismailia Desert Road,Hospitals,International Medical Center,Inpatient - Emergency - Outpatient Clinics,KM 42 Cairo-Ismailia Desert Road,16221,
Cairo,Nasr City,Hospitals,Arab Contractors Medical Center,Inpatient - Emergency - Outpatient Clinics,Al-Gabal Al-Akhdar - Nasr City,19660,
Cairo,Fifth Settlement,Hospitals,Egyptian German Center - Eigent ENT Surgeries and Endoscopy,Outpatient Clinics,241 Medical Park Premier,01222200616,
Cairo,Maadi,Hospitals,Egyptian German Center - Eigent (ENT Surgeries and Endoscopy),Outpatient Clinics,1/6 Al-Laselky Street - Maadi,01222200616,
Cairo,Helwan,Hospitals,Egyptian German Center - Eigent (ENT Surgeries and Endoscopy),Outpatient Clinics,42 Al-Maraghy Street - Helwan,01222200616,
Cairo,Heliopolis,Hospitals,Egyptian German Center - Eigent (ENT Surgeries and Endoscopy),Inpatient - Emergency - Outpatient Clinics,15 Al-Ahram Street - Heliopolis,01222200616,
Cairo,Heliopolis,Hospitals,American Hospital,Inpatient only for Gynecology and Obstetrics surgeries,Khaled Ibn Al-Walid Street - off Abdel Hamid Badawy Street 15 - Sheraton Residences,02 22670702 (10 Lines),
Cairo,Fifth Settlement,Hospitals,Air Force Specialized Hospital,Inpatient - Emergency - Outpatient Clinics,Ninety Street next to Shell Egypt Gas Station,19448,02 23131804
Cairo,New Nozha,Hospitals,Saudi German Hospital,Outpatient Clinics,Joseph Tito Street - New Nozha 47,16259,02 26252400
Cairo,Nasr City,Hospitals,Central Hospital (Islamic Medical Association),Inpatient - Emergency - Outpatient Clinics,Omar Ibn Al-Khattab Street - Golf Land - Next to City Stars,02 24140045,02 24140356/7/8
Cairo,Mokattam,Hospitals,Mokattam Specialized Hospital,Inpatient - Emergency - Outpatient Clinics,Street 9 - Mokattam,27227440-0 1065543,01000222707
Cairo,Fifth Settlement,Hospitals,Aspects Clinica,Outpatient Clinics,Ninety Street - Behind Air Force Hospital,012 12209011,
Cairo,Abbassia,Hospitals,Al-Arabi Clinics,Multiple Specialties,Al-Rahman Al-Rahim Mosque - Salah Salem - Abbassia,19444,
Cairo,Shubra,Hospitals,Al-Arabi Clinics,Multiple Specialties,Geziret Badran Street - Shubra Masr,19444,
Cairo,Fifth Settlement,Hospitals,Neuro Hospitalia Clinics,Brain and Neurosurgery,Clinic 408 Medical Park Premier,15235,
Cairo,Nasr City,Hospitals,Viva Al-Akkad,Inpatient - Emergency - Outpatient Clinics,Mohamed Mostafa Hammam Street off Abbas Al-Akkad Street 12 - Nasr City,15485,
Cairo,Rehab City,Hospitals,Rehab Specialized Clinics Complex,Outpatient Clinics,102-103 Ahmed Shawky Street in front of Commercial Mall 1,012 25555623,02 26070314/6
Cairo,Madinaty,Hospitals,Rehab Specialized Clinics Complex (Madinaty Medical Complex),Outpatient Clinics,Behind Metro Market - Metro Square,012 25555623,011 16603186
Cairo,Madinaty,Hospitals,Rehab Specialized Clinics Complex (Madinaty Medical Complex),Outpatient Clinics,Next to City Authority Unit 4/3,012 25555623,24438180-01267463
Cairo,Madinaty,Hospitals,Rehab Specialized Clinics Complex (Madinaty Medical Complex),Outpatient Clinics,B10 Buildings Area,012 25555623,35022223-01122554
Cairo,Madinaty,Hospitals,Rehab Specialized Clinics Complex (Madinaty Surgery Center),Outpatient Clinics,Unit 17 Next to Awlad Ragab,012 25555623,25247667-01091798
Cairo,Rehab City,Hospitals,Al-Durra Specialized Eye Center,Inpatient - Outpatient Clinics,Clinic CS13 - Gateway Mall - Gate 13,010 61202984,02 20296250
Cairo,Hadayek El-Qobba,Hospitals,Al-Durra Specialized Eye Center,Inpatient - Outpatient Clinics,123 Masr Wal Sudan Street - Hadayek El-Qobba,010 08020201,02 24342781/1
Cairo,Heliopolis,Hospitals,Al-Durra Specialized Eye Center,Inpatient - Outpatient Clinics,6 Nabil El-Wakad Street - Golf Land - Heliopolis,010 90862323,23157469-02 241575
Cairo,Rehab City,Hospitals,Rehab Medical Center,Inpatient - Emergency - Outpatient Clinics,Rehab City - Medical Center 2,02 26077910,01009036438
Cairo,Nasr City,Hospitals,Capital Eye Medicine and Surgery Center,Inpatient - Outpatient Clinics,Hassan Al-Maamoun Street - In front of Al-Ahly Club 123,17579944-01016555522712991-02 235469,
Cairo,Heliopolis,Hospitals,Al-Ain Eye Medicine and Surgery Center,Inpatient - Outpatient Clinics,Moharam Shawky Street off Al-Orouba Street 7 - In front of Baron Palace,02 22911633,02 22911611
Cairo,Heliopolis,Hospitals,Fakeour Oncology Center Dr. Hisham El-Ghazali,Oncology,Al-Nozha Street - Triumph Square 116 in front of Lycée Al-Horreya School,01273730579,02 24192110
Cairo,Heliopolis,Hospitals,Al-Mahaba Medical Center,Inpatient - Emergency - Outpatient Clinics,Al-Hegaz Street - Nozha 181,01159298888,21813131-32-33-34-3
Cairo,Maadi,Hospitals,Maadi Specialized Eye Center,Inpatient - Emergency - Outpatient Clinics,99 Al-Nasr Street - Al-Laselky Division - New Maadi,21723732-01221723,01033337200
Cairo,Shubra,Hospitals,Al-Moneer Diabetic Eye Care Center,Diabetic Eye Care,Shubra Street - Masarra Metro Station 83,01279318000,02 22033421
Cairo,Nasr City,Hospitals,Egy Heart Center,Outpatient Clinics,Attia Al-Sawalehy Street inside Saraya Mall - Tower 3 - Third Floor,22738232-02 227555,22738232-02 227555
Cairo,Heliopolis,Hospitals,Egy Heart Center,Outpatient Clinics,Al-Rashid Street - Sheraton (Inside Nozha Hospital 9),2275557-02 2273823,01200023220
Cairo,Heliopolis,Hospitals,Egy Heart Center,Outpatient Clinics,2 Samir Mokhtar Street off Nabil El-Wakad Street - Golf Land (Inside Golf Hospital),22681360-012253207,01200023220
Cairo,Maadi,Hospitals,Elite Heart Cardiac Catheterization Center,Inpatient - Emergency - Outpatient Clinics,Inside Alaa Ezzat Hospital,01000170995,02 25287621
Cairo,Heliopolis,Hospitals,Dr. Sherif Ahmed Bahr Center,Oncology,Abdel Latif El-Makbaty Street - Heliopolis Square 1 - Heliopolis - Fourth Floor Apartment,03878795-012041443,02 20672758
Cairo,Shubra,Hospitals,Roaya Eye Center (Shubra),Inpatient - Outpatient Clinics,Shubra Street - Al-Sahel 288,0224330961-022433096,
Cairo,Heliopolis,Hospitals,San Joseph Medical Center (Orthopedic Surgery - Pain Management - Spine Diseases),Inpatient - Outpatient Clinics,Abdel Aziz Fahmy Street 11 - off Heliopolis Square - Heliopolis,60300904-012722192,6348168-02263479
Cairo,Fifth Settlement,Hospitals,City Clinic Medical Services Center,Multiple Specialties,Medical Park Premier - Behind Air Force Hospital,15465,
Cairo,Maadi,Hospitals,City Clinic Medical Services Center,Multiple Specialties,14 Al-Nasr Street,15465,
Cairo,Helwan,Hospitals,City Clinic Medical Services Center,Multiple Specialties,Villa 94 Mohamed Sayed Ahmed Street - Helwan,15465,
Cairo,Heliopolis,Hospitals,Cardiovascular Treatment Center (Al-Durra Hospital),Inpatient - Outpatient Clinics,Mohamed Farid Street - Al-Hegaz Square 91,02 22411110,
Cairo,Fifth Settlement,Hospitals,Eye Care Center,Inpatient - Outpatient Clinics,HCC Building - Ninety Street,01205402800,02 28124228-9
Cairo,Maadi,Hospitals,Eye Care Center,Inpatient - Outpatient Clinics,Damascus Street off Sawares Square 1 - Maadi,01000020211,02 23801142/57
Cairo,Fifth Settlement,Hospitals,Clinica Center (ENT Surgeries and Endoscopy),ENT,CMC Mall - North Ninety Street behind Air Force Hospital,012 1444401,
Cairo,Maadi,Hospitals,Clinica Center (ENT Surgeries and Endoscopy),ENT,Zahraa Maadi Towers - Next to Kuwaiti Mosque 57,012 1444401,
Cairo,Nasr City,Hospitals,Egypt Oncology Center,Outpatient Clinics,Abu Al-Atahiya Street - Extension of Abbas Al-Akkad Street 17,01018874650-1,02 22873379
Cairo,Fifth Settlement,Hospitals,ENT Endoscopy and Surgery Center (ENT Clinic),ENT,Medical Center MC - First District - Fourth Zone,200764564-02256035,015336667-02256035
Cairo,El Shorouk,Hospitals,ENT Endoscopy and Surgery Center (ENT Clinic),ENT,Commercial Mall - Panorama Mall El Shorouk - Building 5,01278687179,02 26307996-7
Cairo,Maadi,Hospitals,ENT Endoscopy and Surgery Center (ENT Clinic),ENT,Rehana Plaza Tower - Main Zahraa Maadi Street,01061988484,25165033-02 251626
Cairo,Nasr City,Hospitals,ENT Endoscopy and Surgery Center (ENT Clinic),ENT,Hassan Al-Maamoun Street - Nasr City 123,23546896-022354613,23546836-022354682
Cairo,El Shorouk,Hospitals,Nabd Al-Hayat Cardiovascular Center,Inpatient - Emergency - Outpatient Clinics,Grand Mall El Shorouk - Next to Total Gas Station,01157057092,01157057095
Cairo,Hadayek Helwan,Hospitals,Nabd Al-Hayat Cardiovascular Center,Inpatient - Emergency - Outpatient Clinics,Railway Street - In front of Metro Station - Above Al-Okba Pharmacy,01157057095,0110000255
Cairo,Heliopolis,Hospitals,Nabd Al-Hayat Cardiovascular Center,Inpatient - Emergency - Outpatient Clinics,Cleopatra Street - Salah El-Din Square 40,01157057092,01157057095
Cairo,Nasr City,Hospitals,Welfare Dialysis Center,Dialysis A,Omar Lotfy Street - Eighth District 25,01091351785,
Cairo,Helwan,Hospitals,Military Production Hospital,Inpatient - Emergency - Outpatient Clinics,Ismail Kamel Street - East Helwan,02 28167054,02 28167051-52
Cairo,Nasr City,Hospitals,Kids Specialized Children's Hospital,Inpatient - Emergency - Outpatient Clinics,Mohamed Al-Maqrizy Street - In front of Al-Ahly Club 1,26774072-022677538,01020115115
Cairo,Gezira,Hospitals,Anglo American Hospital,Inpatient - Emergency - Outpatient Clinics,Next to Cairo Tower - Gezira,011 25555272,010 13988992
Cairo,Ain Shams,Hospitals,Al-Batreek Specialized Hospital,Inpatient - Emergency - Outpatient Clinics,2 Mohamed Abbas Street off Twentieth Street - East Ain Shams,01023705955,02 21850300
Cairo,Heliopolis,Hospitals,Dr. Wahid El-Said Hospital for Kidney Diseases and Dialysis,Outpatient Clinics,Al-Merghany Street 95,02 22906452,
Cairo,Downtown,Hospitals,Dr. Wahid El-Said Hospital for Kidney Diseases and Dialysis,Outpatient Clinics,Al-Gomhoreya Street - Abdeen 14,02 23911210,
Cairo,Shubra,Hospitals,Good Shepherd Hospital (Shubra),Inpatient - Emergency - Outpatient Clinics,121 Shubra Street,02 22049254/6/8,
Cairo,Katameya,Hospitals,Al-Rahma Hospital (Katameya),Inpatient - Emergency - Outpatient Clinics,Ibad Al-Rahman City - Behind Shooting Club Katameya - Ring Road - Katameya,60656473-012845237,02 27254602-3
Cairo,Nasr City,Hospitals,Rowad Eye Hospital,Inpatient - Outpatient Clinics,Emad El-Din Kamel Street - Behind Tiba Mall 16 - Nasr City - Main Entrance Anwar Al-Mofty Street,02 24018504,02 24018502
Cairo,Manyal,Hospitals,Al-Zohairy Specialized Hospital,Inpatient - Emergency - Outpatient Clinics,Al-Akhshid Street - Rawda 33,23655151-022365522,23631241-02236483
